source_file	target_file	status	reason
Э/Эротика/Соболева Ульяна/Катерина/01 - Враг мой любимый.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Соболева Ульяна/Катерина/01 - Враг мой любимый.zip	copied	
Э/Эротика/Соболева Ульяна/Катерина/01 - Из ада в рай, из рая в ад.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Соболева Ульяна/Катерина/01 - Из ада в рай, из рая в ад.zip	copied	
Э/Эротика/Стешенко Юлия/Береста Продакшн/01 - Шесть соток волшебства.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Стешенко Юлия/Береста Продакшн/01 - Шесть соток волшебства.zip	copied	
Э/Эротика/Стешенко Юлия/Береста Продакшн/02 - Пушкин, кружка, два ствола.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Стешенко Юлия/Береста Продакшн/02 - Пушкин, кружка, два ствола.zip	copied	
Э/Эротика/Стешенко Юлия/Охотники на драконов/01 - Плохая учительница, хороший снайпер.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Стешенко Юлия/Охотники на драконов/01 - Плохая учительница, хороший снайпер.zip	copied	
Э/Эротика/Стешенко Юлия/Охотники на драконов/02 - Плохая учительница, хороший снайпер - Бонусная глава.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Стешенко Юлия/Охотники на драконов/02 - Плохая учительница, хороший снайпер - Бонусная глава.zip	copied	
Э/Эротика/Стешенко Юлия/Удача для неудачников/01 - Баллада о неудачниках.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Стешенко Юлия/Удача для неудачников/01 - Баллада о неудачниках.zip	copied	
Э/Эротика/Стоун М/Близнецы-миллиардеры/01 - Упоение властью.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Стоун М/Близнецы-миллиардеры/01 - Упоение властью.zip	copied	
Э/Эротика/Стоун М/Близнецы-миллиардеры/02 - Замена в игре.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Стоун М/Близнецы-миллиардеры/02 - Замена в игре.zip	copied	
Э/Эротика/Стоун М/Близнецы-миллиардеры/03 - Смена власти.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Стоун М/Близнецы-миллиардеры/03 - Смена власти.zip	copied	
Э/Эротика/Сципио Ник/0Летний лагерь свингеров.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Сципио Ник/0Летний лагерь свингеров.zip	copied	
Э/Эротика/Тарасенко Сергей/0Куннилингус от А до Я.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Тарасенко Сергей/0Куннилингус от А до Я.zip	copied	
Э/Эротика/фон Беренготт Лючия/Хулиганки и ректоры/01 - Его Высочество Ректор.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/фон Беренготт Лючия/Хулиганки и ректоры/01 - Его Высочество Ректор.zip	copied	
Э/Эротика/фон Беренготт Лючия/Хулиганки и ректоры/02 - Раздевайся, Семёнова!.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/фон Беренготт Лючия/Хулиганки и ректоры/02 - Раздевайся, Семёнова!.zip	copied	
Э/Эротика/фон Беренготт Лючия/Хулиганки и ректоры/03 - Подмена для Ректора.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/фон Беренготт Лючия/Хулиганки и ректоры/03 - Подмена для Ректора.zip	copied	
Э/Эротика/фон Беренготт Лючия/Хулиганки и ректоры/04 - Ловушка для декана.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/фон Беренготт Лючия/Хулиганки и ректоры/04 - Ловушка для декана.zip	copied	
Э/Эротика/Хаан Ашира/0Новый год Доставка до двери.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Хаан Ашира/0Новый год Доставка до двери.zip	copied	
Э/Эротика/Хаан Ашира/Новогодние романы Аширы Хаан/02 - Новогодняя сказка Клиентка по вызову.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Хаан Ашира/Новогодние романы Аширы Хаан/02 - Новогодняя сказка Клиентка по вызову.zip	copied	
Э/Эротика/Хаан Ашира/Тот самый парень/02 - Тот самый парень из порно 2.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Хаан Ашира/Тот самый парень/02 - Тот самый парень из порно 2.zip	copied	
Э/Эротика/Хаан Ашира/Тот самый парень из порно/01 - Тот самый парень из порно 1.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Хаан Ашира/Тот самый парень из порно/01 - Тот самый парень из порно 1.zip	copied	
Э/Эротика/Ящерицын Владимир/Заблудший/01 - Сминающий.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Ящерицын Владимир/Заблудший/01 - Сминающий.zip	copied	
Э/Эротика/Ящерицын Владимир/Заблудший/02 - Разрушитель.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Ящерицын Владимир/Заблудший/02 - Разрушитель.zip	copied	
Э/Эротика/Ящерицын Владимир/Заблудший/03 - Испепелитель.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Ящерицын Владимир/Заблудший/03 - Испепелитель.zip	copied	
Э/Эротика/Ящерицын Владимир/Заблудший/0Заблудший.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Ящерицын Владимир/Заблудший/0Заблудший.zip	copied	
Э/Эротика/Ящерицын Владимир/Наложницы Отчаяния/01 - Наложницы Отчаяния.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Ящерицын Владимир/Наложницы Отчаяния/01 - Наложницы Отчаяния.zip	copied	
Э/Эротика/Ящерицын Владимир/Наложницы Отчаяния/02 - Наложницы злобы (глава 1-9).zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Ящерицын Владимир/Наложницы Отчаяния/02 - Наложницы злобы (глава 1-9).zip	copied	
